Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:3D:FD:C1:BD:1B, 2023-10-23 15:04:08, 2023-10-24 04:54:52, -62,    37082, (not associated) ,VTR-3759291
7C:F6:66:0E:4F:D9, 2023-10-23 15:04:15, 2023-10-24 03:57:51, -45,     1215, CC:D7:3C:FB:A5:D0,
94:A4:08:68:FD:71, 2023-10-23 15:04:34, 2023-10-24 04:54:30, -66,    12280, 40:0D:10:2A:1A:99,VTR-6745269
84:A6:C8:8D:5C:39, 2023-10-23 15:04:34, 2023-10-24 04:48:52, -60,    13880, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
D8:F3:BC:E0:1B:45, 2023-10-23 15:04:55, 2023-10-24 04:54:38, -26,     7327, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
94:A4:08:47:4D:5E, 2023-10-23 15:05:49, 2023-10-24 04:49:07, -89,     8314, 40:0D:10:2A:1A:99,VTR-6745269
B8:27:EB:2A:51:F9, 2023-10-23 15:06:35, 2023-10-24 04:50:51, -51,     1449, CC:D7:3C:FB:A5:D0,
7A:A1:B3:79:EA:FC, 2023-10-23 15:07:33, 2023-10-24 04:49:54, -26,     8653, CC:D7:3C:FB:A5:D0,
5C:DC:96:2A:6A:03, 2023-10-23 15:07:39, 2023-10-24 03:48:14, -49,      715, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
DA:A1:19:DA:02:65, 2023-10-23 15:08:04, 2023-10-23 15:08:04, -84,        1, (not associated) ,VTR-6745269
C0:B6:F9:12:34:55, 2023-10-23 15:08:53, 2023-10-24 03:58:06, -57,      323, CC:D7:3C:FB:A5:D4,GRAFIKA 5
CE:94:6E:DF:E4:A6, 2023-10-23 15:09:32, 2023-10-24 04:47:26, -54,     1251, CC:D7:3C:FB:A5:D0,GRAFIKA 2.4
E8:5A:8B:F2:21:4B, 2023-10-23 15:11:26, 2023-10-24 04:54:15, -56,      405, CC:D7:3C:FB:A5:D4,GRAFIKA 5
98:B6:E9:26:8A:09, 2023-10-23 15:13:48, 2023-10-23 15:13:48, -44,        5, CC:D7:3C:FB:A5:D4,
6E:D3:06:B2:50:44, 2023-10-23 15:13:54, 2023-10-24 04:22:52, -94,      343, 40:0D:10:2A:1A:99,VTR-6745269
DA:A1:19:1D:1D:1D, 2023-10-23 15:17:30, 2023-10-23 16:18:35, -73,        6, (not associated) ,
90:63:3B:69:0A:E4, 2023-10-23 15:18:06, 2023-10-24 04:53:36, -87,      109, 40:0D:10:2A:1A:99,
DA:A1:19:4C:51:41, 2023-10-23 15:18:23, 2023-10-23 15:18:23, -83,        2, (not associated) ,VTR-6745269
50:3D:C6:7A:38:77, 2023-10-23 15:22:57, 2023-10-24 04:48:28,  17,      338, CC:D7:3C:FB:A5:D0,
36:8A:71:65:68:D4, 2023-10-23 15:23:45, 2023-10-24 00:29:03, -91,        7, (not associated) ,
76:1A:F4:8B:48:36, 2023-10-23 15:23:56, 2023-10-23 22:21:15, -89,        3, 80:E1:BF:8A:F2:F8,
02:0D:80:CB:29:1D, 2023-10-23 15:24:23, 2023-10-24 03:59:54, -83,       43, 40:0D:10:2A:1A:99,
24:62:AB:34:B7:2A, 2023-10-23 15:25:22, 2023-10-24 04:02:05, -54,      636, CC:D7:3C:FB:A5:D0,
8E:5C:5E:46:22:D8, 2023-10-23 15:27:12, 2023-10-23 15:27:12, -88,        1, (not associated) ,
E8:48:B8:48:78:86, 2023-10-23 15:29:06, 2023-10-24 04:54:18, -98,      120, (not associated) ,VTR-8720116
54:F1:5F:7D:EE:90, 2023-10-23 15:31:16, 2023-10-24 04:00:35, -110,      106, E4:57:40:AA:30:46,VTR-4364063
28:CF:51:91:CE:9C, 2023-10-23 15:31:40, 2023-10-24 04:30:17, -69,      392, CC:D7:3C:FB:A5:D0,
